datetime,lat,lng,intensity,wind,minimum central pressure,type
1/7/2026 02:00,13.7,119.4,TD,45,1002,past
1/7/2026 05:00,13.9,119.1,TD,45,1002,past
1/7/2026 08:00,14.2,118.5,TD,55,1004,past
1/7/2026 11:00,14.5,118.0,TD,55,1004,past
1/7/2026 14:00,15.0,117.5,TD,55,1002,past
1/7/2026 17:00,15.5,117.0,TD,55,1002,past
1/7/2026 20:00,16.2,116.4,TD,45,1002,past
1/7/2026 23:00,16.6,115.9,TD,45,1002,past
2/7/2026 02:00,17.1,115.5,TD,45,1002,past
2/7/2026 05:00,17.0,114.6,TD,45,1002,past
2/7/2026 08:00,17.2,113.8,TD,55,1002,past
2/7/2026 11:00,17.3,113.0,TD,55,1002,past
2/7/2026 14:00,17.5,112.1,TD,55,1002,past
2/7/2026 17:00,17.8,111.3,TD,55,1002,past
2/7/2026 20:00,17.2,110.9,TD,55,1002,past
2/7/2026 23:00,17.2,110.7,TS,65,1000,past
3/7/2026 02:00,17.3,110.6,TS,65,1000,past
3/7/2026 05:00,17.5,110.5,TS,65,998,past
3/7/2026 08:00,17.3,110.2,TS,75,995,past
3/7/2026 11:00,17.2,110.1,TS,85,990,past
3/7/2026 14:00,17.5,109.9,STS,90,985,past
3/7/2026 17:00,18.2,110.1,STS,90,985,past
3/7/2026 20:00,18.9,109.9,TS,85,985,past
3/7/2026 23:00,19.3,109.7,TS,85,990,past
4/7/2026 02:00,19.7,109,TS,85,990,past
4/7/2026 05:00,19.9,108.7,TS,85,990,current
