datetime,lat,lng,intensity,wind,minimum central pressure,type
1/7/2026 02:00,8.3,163.2,TD,45,1002,past
1/7/2026 08:00,8.7,163.3,TD,45,1004,past
1/7/2026 14:00,9.2,162.3,TD,55,1002,past
1/7/2026 20:00,9.7,162.3,TD,55,1002,past
2/7/2026 02:00,10.8,160.6,TS,75,995,past
2/7/2026 08:00,11.0,160.1,TS,85,990,past
2/7/2026 14:00,11.5,159.2,STS,90,985,past
2/7/2026 20:00,12,158.2,STS,105,982,past
3/7/2026 02:00,12.5,156.6,STS,110,975,past
3/7/2026 08:00,13.0,155.3,TY,120,970,past
3/7/2026 14:00,12.9,154.2,STY,150,955,past
3/7/2026 20:00,12.8,153.2,SUTY,185,935,past
4/7/2026 02:00,12.7,152.2,SUTY,230,915,past
4/7/2026 08:00,12.5,151.5,SUTY,240,910,past
4/7/2026 14:00,12.5,150.9,SUTY,240,910,past
4/7/2026 20:00,12.6,150.2,SUTY,220,920,past
5/7/2026 02:00,12.7,149.6,SUTY,230,910,past
5/7/2026 08:00,12.8,149.0,SUTY,210,925,past
5/7/2026 14:00,13.4,148.1,SUTY,230,915,past
5/7/2026 20:00,13.7,147.1,SUTY,250,905,past
6/7/2026 02:00,14,146.1,SUTY,250,905,past
6/7/2026 08:00,14.1,145.5,SUTY,250,900,past
6/7/2026 14:00,14.8,144.2,SUTY,250,900,past
6/7/2026 20:00,15.5,142.7,SUTY,230,915,past
7/7/2026 02:00,15.8,141.1,SUTY,230,915,past
7/7/2026 08:00,16.2,139.9,SUTY,230,915,past
7/7/2026 14:00,16.5,138.3,SUTY,230,915,past
7/7/2026 20:00,16.8,136.6,SUTY,220,920,past
8/7/2026 02:00,16.8,135.3,SUTY,220,920,past
8/7/2026 08:00,17.0,134.1,SUTY,230,915,past
8/7/2026 14:00,17,133,SUTY,220,920,past
8/7/2026 20:00,17.4,131.9,SUTY,210,925,past
9/7/2026 02:00,17.6,130.8,SUTY,205,930,past
9/7/2026 08:00,18.3,129.9,SUTY,195,935,past
9/7/2026 14:00,18.7,128.9,STY,175,940,past
9/7/2026 20:00,18.8,128.8,STY,165,945,past
10/7/2026 02:00,19.9,128.2,STY,150,955,past
10/7/2026 08:00,20.8,127.6,TY,145,960,current
